idx,file,emotion,race,gender,rand
0,M007_T6_1352.jpg,angry,white,m,0.271825286
1,F004_T3_0145.jpg,surprised,white,f,0.667218389
2,F015_T7_1131.jpg,sad,asian,f,0.485763705
3,M008_T5_1169.jpg,surprised,asian,m,0.31251179
4,M009_T4_0449.jpg,surprised,white,m,0.4962113
5,M018_T8_0166.jpg,sad,white,m,0.549057564
6,M009_T3_0111.jpg,neutral,white,m,0.235255707
7,M008_T1_0358.jpg,happy,asian,m,0.127069364
8,M015_T8_0148.jpg,disgusted,latin,m,0.325249005
9,F021_T1_0214.jpg,happy,asian,f,0.354755386
10,M009_T8_0050.jpg,disgusted,white,m,0.897587669
11,F016_T3_0068.jpg,neutral,white,f,0.805498826
12,M007_T6_1352.jpg,angry,white,m,0.168081077
13,M003_T2_1482.jpg,sad,black,m,0.556320409
14,M016_T5_1179.jpg,neutral,white,m,0.234873828
15,F002_T4_1777.jpg,happy,asian,f,0.455612466
16,F007_T2_0188.jpg,angry,asian,f,0.434269978
17,F014_T6_0889.jpg,disgusted,asian,f,0.810520825
